Team_Country,TotalGold,TotalSilver,TotalBronze
Islamic Republic of Iran,3,2,2
Chinese Taipei,2,4,6
Sweden,3,6,0
Republic of Korea,6,4,10
Philippines,1,2,1
Malaysia,0,1,1
Fiji,1,0,1
Turkey,2,2,9
Germany,10,11,16
Jordan,0,1,1
Cote D'ivoire,0,0,1
France,10,12,11
Greece,2,1,1
Kosovo,2,0,0
Slovakia,1,2,1
"Hong Kong, China",1,2,3
Argentina,0,1,2
Belgium,3,1,3
Great Britain,22,21,22
San Marino,0,1,2
Ecuador,2,1,0
Qatar,2,0,1
Finland,0,0,2
Ghana,0,0,1
Bahamas,2,0,0
India,1,2,4
Belarus,1,3,3
Kuwait,0,0,1
Puerto Rico,1,0,0
Croatia,3,3,2
Nigeria,0,1,1
Italy,10,10,20
Lithuania,0,1,0
Norway,4,2,2
Turkmenistan,0,1,0
Spain,3,8,6
Cuba,7,3,5
Denmark,3,4,4
Ireland,2,0,2
Thailand,1,0,1
Morocco,1,0,0
Ukraine,1,6,12
Venezuela,1,3,0
Israel,2,0,2
United States of America,39,41,33
Mexico,0,0,4
Georgia,2,5,1
Estonia,1,0,1
Indonesia,1,1,3
Mongolia,0,1,3
Azerbaijan,0,3,4
Grenada,0,0,1
Armenia,0,2,2
Tunisia,1,1,0
Saudi Arabia,0,1,0
Uganda,2,1,1
Namibia,0,1,0
Switzerland,3,4,6
Ethiopia,1,1,2
Jamaica,4,1,4
Latvia,1,0,1
Canada,7,6,11
Uzbekistan,3,0,2
Kyrgyzstan,0,2,1
North Macedonia,0,1,0
Czech Republic,4,4,3
Brazil,7,6,8
Kenya,4,4,2
Slovenia,3,1,1
Dominican Republic,0,3,2
Japan,27,14,17
Botswana,0,0,1
New Zealand,7,6,7
Poland,4,5,5
Portugal,1,1,2
Republic of Moldova,0,0,1
Australia,17,7,22
People's Republic of China,38,32,18
Romania,1,3,0
Bulgaria,3,1,2
Austria,1,1,5
Egypt,1,1,4
Kazakhstan,0,0,8
Serbia,3,1,5
South Africa,1,2,0
Burkina Faso,0,0,1
Bermuda,1,0,0
Bahrain,0,1,0
ROC,20,28,23
Colombia,0,4,1
Hungary,6,7,7
Syrian Arab Republic,0,0,1
Netherlands,10,12,14
